Entry,Entry name,geneid,genename
Q4ZJM7,OTOL1_MOUSE,229389;,Otol1
Q80UF9,OTOP3_MOUSE,69602;,Otop3
B2RUR8,OTU7B_MOUSE,229603;,Otud7b
Q7TQI3,OTUB1_MOUSE,107260;,Otub1
Q8CIV7,OVOL2_MOUSE,107586;,Ovol2
Q8VE38,OXND1_MOUSE,218885;,Oxnad1
Q9DBN4,P33MX_MOUSE,97820;,P33monox
Q8CG71,P3H2_MOUSE,210530;,P3h2
Q922R5,P4R3B_MOUSE,104570;,Ppp4r3b
Q6P5U7,NWD2_MOUSE,319807;,Nwd2
Q99JX7,NXF1_MOUSE,53319;,Nxf1
Q9D531,NXNL2_MOUSE,75124;,Nxnl2
Q9QZV9,NXT1_MOUSE,56488;,Nxt1
Q3UNA4,NXT2_MOUSE,237082;,Nxt2
Q8VFK1,O1009_MOUSE,258565;,Olfr1009
Q8VGS3,O1019_MOUSE,259017;,Olfr1019
Q8VFL5,O1030_MOUSE,258581;,Olfr1030
Q8VGR9,O1044_MOUSE,259013;,Olfr1044
Q8VFX2,O1444_MOUSE,258697;,Olfr1444
Q8R5F3,OARD1_MOUSE,106821;,Oard1
P11928,OAS1A_MOUSE,246730;,Oas1a
Q8VI95,OAS1D_MOUSE,100535;,Oas1d
Q8VI94,OASL1_MOUSE,231655;,Oasl1
Q9R109,OAZ3_MOUSE,53814;,Oaz3
Q6P3A8,ODBB_MOUSE,12040;,Bckdhb
P35486,ODPA_MOUSE,18597;,Pdha1
Q9D051,ODPB_MOUSE,68263;,Pdhb
Q8BGX4,OFCC1_MOUSE,,Ofcc1
Q9EQQ9,OGA_MOUSE,76055;,Mgea5
Q9D136,OGFD3_MOUSE,66179;,Ogfod3
Q9Z1V0,OLF49_MOUSE,18348;,Olfr49
Q8VGK5,OLF50_MOUSE,18350;,Olfr50
Q8VBW9,OLF63_MOUSE,258939;,Olfr63
P34986,OLF6_MOUSE,233670;,Olfr6
Q60892,OLF8_MOUSE,18372;,Olfr8
Q8BHP7,OLM2A_MOUSE,241327;,Olfml2a
Q8BH10,ORAI2_MOUSE,269717;,Orai2
Q9WUV0,ORC5_MOUSE,26429;,Orc5
B9EJ86,OSBL8_MOUSE,237542;,Osbpl8
Q8BHW2,OSCP1_MOUSE,230751;,Oscp1
Q9D722,OSER1_MOUSE,66680;,Oser1
P86546,OSTCN_MOUSE,12096;,Bglap
Q62422,OSTF1_MOUSE,20409;,Ostf1
P11725,OTC_MOUSE,18416;,Otc
Q9CWU9,NUP37_MOUSE,69736;,Nup37
Q8R332,NUP58_MOUSE,71844;,Nup58
Q8VC33,NXNL1_MOUSE,234404;,Nxnl1
Q9D281,NXP20_MOUSE,68303;,Fam114a1
Q3U095,NXPE2_MOUSE,78252;,Nxpe2
Q52KP5,NXPE4_MOUSE,244853;,Nxpe4
Q61200,NXPH1_MOUSE,18231;,Nxph1
Q91VX5,NXPH3_MOUSE,104079;,Nxph3
Q6PFX7,NYAP1_MOUSE,243300;,Nyap1
P83503,NYX_MOUSE,236690;,Nyx
Q8VFK7,O1020_MOUSE,258573;,Olfr1020
Q8VGS1,O1038_MOUSE,259015;,Olfr1038
Q8VGR8,O1052_MOUSE,,Olfr1052
Q8VFL9,O1086_MOUSE,258585;,Olfr1086
Q8VBV9,O51E2_MOUSE,170639;,Or51e2
Q60856,OAS1B_MOUSE,23961;,Oas1b
E9Q9A9,OAS2_MOUSE,246728;,Oas2
D3YYU8,OBSL1_MOUSE,98733;,Obsl1
Q9D611,OCSTP_MOUSE,74614;,Ocstamp
Q3TZ65,OD3L2_MOUSE,382384;,Odf3l2
Q920N1,ODF3A_MOUSE,69287;,Odf3
Q8BMF4,ODP2_MOUSE,235339;,Dlat
Q99PG2,OGFR_MOUSE,72075;,Ogfr
Q8BFQ3,OGR1_MOUSE,238377;,Gpr68
Q7TS48,OL180_MOUSE,,Olfr180
Q8VFB9,OL183_MOUSE,,Olfr183
Q8VEX6,OL187_MOUSE,,Olfr187
Q8VGI5,OL481_MOUSE,258927;,Olfr481
Q8VG05,OL483_MOUSE,258730;,Olfr483
Q8VEW5,OL493_MOUSE,258307;,Olfr493
Q8VF12,OL495_MOUSE,258361;,Olfr495
Q8VEW2,OL498_MOUSE,258304;,Olfr498
Q8VG42,OL508_MOUSE,258769;,Olfr508
Q6W049,OL688_MOUSE,259161;,Olfr688
Q60883,OLF10_MOUSE,18307;,Olfr10
Q0VAX9,OLF18_MOUSE,18315;,Olfr18
Q8VGD6,OLF56_MOUSE,18356;,Olfr56
Q60885,OLF9_MOUSE,18373;,Olfr9
Q6PFG8,OLIG3_MOUSE,94222;,Olig3
P47945,MT4_MOUSE,17752;,Mt4
Q8C3P7,MTA70_MOUSE,56335;,Mettl3
Q60945,MTCP1_MOUSE,17763;,Mtcp1
Q02395,MTF2_MOUSE,17765;,Mtf2
O70374,MTG8R_MOUSE,12396;,Cbfa2t2
Q8K296,MTMR3_MOUSE,74302;,Mtmr3
